Country or Area,Richest 20% Learning materials at home - Children's books,Female Net enrolment ratio in secondary education,Total Learning materials at home - Children's books,Male Net enrolment ratio in secondary education,Poorest 20% Learning materials at home - Children's books,Female Net attendance ratio in secondary education,Female Gross enrolment ratio in pre-primary education,Male Net attendance ratio in secondary education,Proportion of pupils starting grade 1 who reach grade 5,Gross enrolment ratio in lower secondary education
Afghanistan,0.0505050505050505,0.4130434782608696,0.7216494845360825,0.4827586206896552,0.010752688172043013,0.061224489795918366,0.32432432432432434,0.1836734693877551,0.3972602739726027,0.3771929824561404
Albania,0.5252525252525253,0.8043478260869565,0.08247422680412371,0.8160919540229885,0.1720430107526882,0.8367346938775511,0.3648648648648649,0.8571428571428571,0.9315068493150684,0.6666666666666666
Algeria,0.5252525252525253,0.5978260869565217,0.21649484536082475,0.6436781609195402,0.0967741935483871,0.6632653061224489,0.5067567567567568,0.5816326530612245,0.9315068493150684,1.0
Andorra,0.8101010101010101,0.7282608695652174,0.44948453608247424,0.7126436781609196,0.4,0.8857142857142857,0.6621621621621622,0.8877551020408163,0.9452054794520548,0.6052631578947368
Angola,0.21212121212121213,0.03260869565217391,0.08247422680412371,0.6019379447181176,0.010752688172043013,0.17346938775510204,0.7027027027027027,0.21428571428571427,0.0684931506849315,0.17543859649122806
Antigua and Barbuda,0.9393939393939394,0.8369565217391305,0.8350515463917526,0.8390804597701149,0.7096774193548387,0.6938775510204082,0.5067567567567568,0.6301020408163265,0.8767123287671232,0.9035087719298246
Argentina,0.8131313131313131,0.8586956521739131,0.4793814432989691,0.7586206896551724,0.25806451612903225,0.7460317460317459,0.5,0.6961451247165533,0.9178082191780822,0.7894736842105263
Armenia,0.5892255892255893,0.8695652173913043,0.32302405498281783,0.8390804597701149,0.2293906810035841,0.9693877551020408,0.22297297297297292,0.9489795918367347,0.8664383561643836,0.6754385964912281
Australia,0.5195381487834321,0.8478260869565217,0.3423123473600035,0.8390804597701149,0.2406934018619961,0.6428571428571429,0.5202702702702703,0.6224489795918368,0.9315068493150684,0.8245614035087719
Austria,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.8160919540229885,0.2406934018619961,0.5798192532827089,0.668918918918919,0.5703755339345039,0.9589041095890408,0.7280701754385965
Azerbaijan,0.5892255892255893,0.5978260869565217,0.32302405498281783,0.6436781609195402,0.2293906810035841,0.8367346938775511,0.16216216216216214,0.8469387755102041,0.9452054794520548,0.6403508771929824
Bahamas,0.9393939393939394,0.8695652173913043,0.8350515463917526,0.8045977011494253,0.7096774193548387,0.6938775510204082,0.4662162162162162,0.6301020408163265,0.8493150684931506,0.7192982456140351
Bahrain,0.5892255892255893,0.5978260869565217,0.32302405498281783,0.6436781609195402,0.2293906810035841,0.8673469387755102,0.14864864864864866,0.7857142857142857,0.8664383561643836,0.6140350877192983
Bangladesh,0.14646464646464644,0.4565217391304348,0.36597938144329895,0.3793103448275862,0.010752688172043013,0.4693877551020408,0.08108108108108109,0.5612244897959183,0.5342465753424658,0.41228070175438597
