Country or Area,Central government expenditure allocated to education
Algeria,4
Andorra,4
Angola,3
Antigua and Barbuda,2
Argentina,6
Armenia,4
Australia,5
Austria,5
Azerbaijan,3
Bahrain,3
Bangladesh,2
Barbados,7
Belarus,5
Belgium,6
Belize,6
Benin,5
Bhutan,5
Botswana,8
Brazil,6
Brunei Darussalam,2
Bulgaria,4
Burkina Faso,5
Burundi,7
Cambodia,2
Cameroon,4
Canada,5
Cape Verde,6
CEE/CIS,4
Central African Republic,1
Chad,3
Chile,5
Colombia,5
Comoros,8
Congo,6
Costa Rica,6
Côte d'Ivoire,5
Croatia,4
Cuba,14
Cyprus,8
Czech Republic,5
Democratic Republic of the Congo,3
Denmark,9
Djibouti,8
Dominica,4
Dominican Republic,2
East Asia and Pacific,4
Eastern and Southern Africa,5
Egypt,4
El Salvador,4
Estonia,6
Ethiopia,5
Fiji,4
Finland,7
France,6
Gambia,4
Georgia,3
Germany,5
Ghana,5
Guatemala,3
Guinea,2
Guyana,3
Hungary,5
Iceland,8
Indonesia,4
Iran (Islamic Republic of),5
Ireland,6
Israel,6
Italy,5
Jamaica,6
Japan,3
Kazakhstan,4
Kenya,7
Kyrgyzstan,6
Lao People's Democratic Republic,2
Latin America and Caribbean,5
Latvia,6
Least Developed Countries/Territories,4
Lebanon,2
Lesotho,13
Liberia,3
Liechtenstein,2
Lithuania,6
Madagascar,3
Malaysia,6
Maldives,9
Mali,4
Malta,6
Mauritania,4
Mauritius,3
Mexico,5
Middle East and North Africa,4
Monaco,1
Mongolia,5
Morocco,5
Namibia,6
Nepal,5
Netherlands,6
New Zealand,6
Niger,4
Norway,7
Oman,4
Pakistan,3
Panama,4
Paraguay,4
Peru,3
Philippines,3
Poland,6
Portugal,6
Qatar,2
Republic of Korea,5
Republic of Moldova,10
Romania,4
Russian Federation,4
Rwanda,4
Saint Kitts and Nevis,4
Saint Lucia,4
Saint Vincent and the Grenadines,5
Samoa,5
Saudi Arabia,6
Senegal,6
Serbia,5
Sierra Leone,4
Singapore,4
Slovakia,5
Slovenia,6
Solomon Islands,7
South Africa,5
Spain,5
Sri Lanka,3
Sub-Saharan Africa,5
Swaziland,8
Sweden,7
Switzerland,5
Syrian Arab Republic,5
Tajikistan,5
Thailand,4
Timor-Leste,16
Togo,3
Tunisia,6
Uganda,3
Ukraine,5
United Arab Emirates,1
United Kingdom,6
United Republic of Tanzania,7
United States,5
Vanuatu,5
Venezuela (Bolivarian Republic of),4
Viet Nam,5
World,5
Yemen,5
Zambia,1
Zimbabwe,2
fnSeqID,
1,
2,
3,
