Country or Area,Gross enrolment ratio of girls to boys in secondary education
Afghanistan,51
Albania,98
Algeria,102
Andorra,105
Angola,69
Antigua and Barbuda,101
Argentina,112
Armenia,102
Australia,95
Austria,96
Azerbaijan,98
Bahamas,105
Bangladesh,113
Barbados,109
Belgium,97
Bhutan,101
Bolivia (Plurinational State of),99
Bosnia and Herzegovina,103
Botswana,106
Brunei Darussalam,103
Bulgaria,95
Burkina Faso,76
Burundi,72
Cambodia,90
Cameroon,83
Canada,98
Cape Verde,120
CEE/CIS,97
Central African Republic,58
Chad,42
Chile,103
China,104
Colombia,110
Cook Islands,110
Costa Rica,106
Croatia,107
Cuba,99
Cyprus,100
Czech Republic,101
Democratic Republic of the Congo,58
Denmark,102
Djibouti,80
Dominica,109
Dominican Republic,112
East Asia and Pacific,104
Eastern and Southern Africa,89
Ecuador,103
Egypt,96
El Salvador,101
Eritrea,76
Estonia,102
Ethiopia,82
Fiji,109
Finland,105
France,101
Gambia,95
Germany,95
Ghana,91
Grenada,103
Guatemala,93
Guinea,59
Guyana,111
Honduras,123
Hungary,99
Iceland,103
India,92
Indonesia,100
Iran (Islamic Republic of),86
Ireland,105
Israel,102
Italy,99
Jamaica,103
Japan,100
Jordan,106
Kazakhstan,97
Kenya,90
Kiribati,111
Kuwait,107
Kyrgyzstan,99
Lao People's Democratic Republic,83
Latin America and Caribbean,108
Latvia,98
Least Developed Countries/Territories,84
Lebanon,112
Lesotho,138
Liechtenstein,103
Lithuania,98
Luxembourg,102
Madagascar,94
Malawi,91
Malaysia,107
Mali,70
Malta,89
Marshall Islands,103
Mauritania,85
Mauritius,100
Mexico,107
Middle East and North Africa,92
Mongolia,107
Montenegro,101
Mozambique,82
Myanmar,106
Nauru,120
Netherlands,99
New Zealand,105
Nicaragua,110
Niger,66
Nigeria,88
Norway,98
Oman,99
Pakistan,76
Panama,107
Paraguay,105
Peru,98
Philippines,108
Poland,99
Portugal,104
Qatar,121
Republic of Korea,99
Republic of Moldova,102
Romania,99
Russian Federation,98
Rwanda,102
Saint Kitts and Nevis,99
Saint Lucia,99
Saint Vincent and the Grenadines,102
Samoa,114
San Marino,102
Sao Tome and Principe,103
Saudi Arabia,95
Senegal,88
Serbia,102
Seychelles,109
Slovakia,101
Slovenia,100
South Africa,105
South Asia,91
Spain,102
State of Palestine,108
Sub-Saharan Africa,82
Suriname,123
Swaziland,100
Sweden,99
Switzerland,97
Syrian Arab Republic,100
Tajikistan,87
Thailand,108
The former Yugoslav Republic of Macedonia,99
Timor-Leste,101
Trinidad and Tobago,107
Tunisia,106
Turkey,91
Uganda,85
Ukraine,98
United Kingdom,102
United States,101
Uzbekistan,99
Vanuatu,102
Venezuela (Bolivarian Republic of),110
Viet Nam,109
Western and Central Africa,76
World,97
Yemen,62
fnSeqID,
1,
2,
