Country or Area,Male Gross enrolment ratio in primary education,Female Gross enrolment ratio in primary education
Afghanistan,114,79
Albania,87,87
Algeria,113,107
Andorra,84,85
Angola,137,112
Antigua and Barbuda,106,97
Argentina,118,117
Armenia,101,104
Australia,105,105
Austria,100,99
Azerbaijan,94,93
Bahamas,113,115
Barbados,119,122
Belarus,100,100
Belgium,105,104
Belize,127,116
Benin,135,117
Bhutan,110,112
Bolivia (Plurinational State of),105,104
Bosnia and Herzegovina,111,113
Botswana,112,108
Brunei Darussalam,107,109
Bulgaria,103,102
Burkina Faso,79,72
Burundi,157,155
Cambodia,130,124
Cameroon,129,111
Canada,99,98
Cape Verde,114,105
CEE/CIS,100,99
Central African Republic,109,78
Chad,107,78
Chile,108,103
China,110,113
Colombia,116,114
Comoros,109,100
Congo,118,112
Cook Islands,107,110
Costa Rica,110,109
Côte d'Ivoire,96,80
Croatia,93,93
Cuba,104,102
Cyprus,106,105
Czech Republic,106,106
Democratic Republic of the Congo,100,87
Denmark,99,99
Djibouti,62,56
Dominica,113,111
Dominican Republic,115,102
East Asia and Pacific,110,112
Eastern and Southern Africa,113,108
Ecuador,114,115
Egypt,103,98
El Salvador,117,111
Equatorial Guinea,88,85
Eritrea,48,41
Estonia,100,98
Ethiopia,106,97
Fiji,106,104
Finland,99,99
France,111,109
Gabon,184,179
Gambia,82,84
Georgia,107,111
Germany,103,102
Ghana,107,107
Grenada,103,103
Guatemala,119,114
Guinea,103,86
Guinea-Bissau,127,119
Guyana,83,86
Honduras,116,116
Hungary,102,101
Iceland,99,100
India,116,116
Indonesia,117,119
Iran (Islamic Republic of),114,115
Ireland,108,108
Israel,103,103
Italy,102,101
Jamaica,91,87
Japan,103,103
Jordan,92,92
Kazakhstan,111,111
Kenya,115,112
Kiribati,111,115
Kuwait,104,107
Kyrgyzstan,100,99
Lao People's Democratic Republic,131,122
Latin America and Caribbean,116,112
Latvia,101,100
Least Developed Countries/Territories,106,100
Lebanon,106,103
Lesotho,104,102
Liberia,101,91
Liechtenstein,109,102
Lithuania,96,95
Luxembourg,99,100
Madagascar,150,147
Malawi,133,138
Maldives,111,107
Mali,86,75
Malta,101,101
Marshall Islands,102,101
Mauritania,99,105
Mauritius,99,100
Mexico,115,113
Middle East and North Africa,103,97
Mongolia,123,121
Montenegro,107,106
Morocco,115,108
Mozambique,121,109
Myanmar,126,126
Namibia,108,107
Nauru,90,96
Netherlands,108,107
New Zealand,101,101
Nicaragua,119,116
Niger,73,60
Nigeria,87,79
Norway,99,99
Oman,107,104
Pakistan,104,85
Panama,109,106
Papua New Guinea,63,57
Paraguay,101,98
Peru,108,108
Philippines,107,105
Poland,98,97
Portugal,116,112
Qatar,103,103
Republic of Korea,106,105
Republic of Moldova,94,93
Romania,96,95
Russian Federation,99,99
Rwanda,141,144
Saint Kitts and Nevis,93,94
Saint Lucia,96,92
Saint Vincent and the Grenadines,109,101
Samoa,107,109
San Marino,89,101
Sao Tome and Principe,131,130
Saudi Arabia,106,106
Senegal,84,89
Serbia,96,96
Seychelles,117,117
Sierra Leone,129,120
Slovakia,102,102
Slovenia,98,97
South Africa,104,100
South Asia,107,105
Spain,106,105
Sri Lanka,99,99
State of Palestine,92,90
Sub-Saharan Africa,103,96
Suriname,116,111
Swaziland,121,111
Sweden,102,101
Switzerland,103,102
Syrian Arab Republic,119,116
Tajikistan,104,100
Thailand,91,90
The former Yugoslav Republic of Macedonia,89,91
Timor-Leste,119,115
Togo,147,132
Trinidad and Tobago,107,103
Tunisia,111,107
Turkey,103,101
Uganda,120,122
Ukraine,99,100
United Kingdom,106,106
United Republic of Tanzania,101,103
United States,102,101
Uruguay,115,111
Uzbekistan,95,93
Vanuatu,120,114
Venezuela (Bolivarian Republic of),104,101
Viet Nam,109,103
Western and Central Africa,96,86
World,107,105
Yemen,96,78
Zambia,115,116
