Country or Area,Male Net enrolment ratio in secondary education,Female Net enrolment ratio in secondary education
Andorra,74,75
Angola,12,11
Antigua and Barbuda,85,85
Argentina,78,87
Armenia,85,88
Australia,85,86
Bahamas,82,88
Bangladesh,45,50
Barbados,81,88
Bhutan,50,54
Bolivia (Plurinational State of),68,69
Botswana,57,65
Brunei Darussalam,95,99
Bulgaria,84,82
Burkina Faso,18,14
Burundi,18,15
CEE/CIS,83,82
Cape Verde,61,71
Central African Republic,18,10
Chile,81,84
Colombia,72,77
Cook Islands,76,82
Croatia,88,94
Cuba,86,85
Cyprus,96,96
Denmark,88,91
Djibouti,28,20
Dominican Republic,58,67
East Asia and Pacific,70,74
Eastern and Southern Africa,33,30
Egypt,71,69
El Salvador,57,59
Eritrea,32,25
Estonia,91,93
Finland,94,94
France,98,99
Ghana,51,47
Grenada,95,86
Guatemala,43,40
Guinea,36,22
Guyana,78,83
Hungary,91,91
Iceland,87,89
Indonesia,68,67
Iran (Islamic Republic of),92,80
Ireland,98,100
Israel,97,100
Italy,94,94
Jamaica,80,87
Japan,99,100
Jordan,83,88
Kazakhstan,89,88
Kenya,52,48
Kuwait,86,93
Kyrgyzstan,79,79
Lao People's Democratic Republic,42,38
Latin America and Caribbean,71,76
Latvia,83,84
Least Developed Countries/Territories,35,29
Lebanon,71,79
Lesotho,23,37
Liechtenstein,64,64
Lithuania,91,91
Luxembourg,84,86
Madagascar,23,24
Malawi,28,27
Malaysia,65,71
Mali,35,24
Malta,82,80
Mexico,70,73
Middle East and North Africa,68,63
Mozambique,17,15
Myanmar,49,52
Netherlands,87,88
New Zealand,94,95
Nicaragua,43,49
Niger,13,8
Norway,94,94
Oman,89,90
Pakistan,38,29
Panama,66,72
Paraguay,58,62
Peru,77,78
Philippines,56,67
Poland,90,92
Qatar,76,93
Republic of Korea,96,95
Republic of Moldova,78,79
Romania,82,83
Saint Kitts and Nevis,89,88
Saint Lucia,85,85
Saint Vincent and the Grenadines,85,96
Samoa,73,83
Sao Tome and Principe,44,52
Saudi Arabia,78,83
Serbia,89,91
Slovenia,91,92
South Asia,54,46
Spain,94,96
State of Palestine,81,87
Suriname,46,55
Swaziland,29,37
Sweden,94,94
Switzerland,84,82
Syrian Arab Republic,67,67
Tajikistan,90,80
Thailand,68,76
Timor-Leste,34,39
Turkey,77,71
Ukraine,86,86
United Kingdom,95,97
United States,89,90
Uruguay,66,73
Uzbekistan,93,91
Vanuatu,46,49
Venezuela (Bolivarian Republic of),68,76
World,64,61
Yemen,49,31
