Country or Area,Proportion of pupils starting grade 1 who reach grade 5 (survey data)
Afghanistan,90
Albania,100
Algeria,93
Angola,83
Armenia,100
Azerbaijan,100
Bahrain,99
Bangladesh,94
Belarus,100
Belize,98
Benin,89
Bhutan,94
Bolivia (Plurinational State of),96
Bosnia and Herzegovina,100
Brazil,88
Burkina Faso,89
Burundi,82
Cambodia,92
Cameroon,87
Central African Republic,62
Chad,94
Colombia,95
Comoros,19
Congo,93
Côte d'Ivoire,90
Democratic Republic of the Congo,75
Djibouti,92
Dominican Republic,78
Egypt,99
Ethiopia,84
Gambia,93
Georgia,98
Ghana,81
Guinea,96
Guinea-Bissau,79
Guyana,100
Haiti,85
India,95
Iraq,93
Jamaica,99
Kazakhstan,100
Kenya,96
Kyrgyzstan,99
Lao People's Democratic Republic,65
Lebanon,93
Lesotho,84
Madagascar,89
Malawi,81
Maldives,99
Mali,96
Mauritania,77
Mongolia,99
Montenegro,97
Mozambique,60
Myanmar,93
Namibia,89
Nepal,95
Nicaragua,56
Niger,88
Nigeria,98
Peru,95
Philippines,90
Republic of Moldova,100
Rwanda,76
Sao Tome and Principe,84
Senegal,93
Serbia,99
Sierra Leone,93
Somalia,85
South Asia,95
South Sudan,65
Sudan,82
Suriname,92
Swaziland,93
Syrian Arab Republic,100
Tajikistan,100
Thailand,99
The former Yugoslav Republic of Macedonia,99
Timor-Leste,91
Togo,90
Trinidad and Tobago,98
Turkey,95
Turkmenistan,100
Uganda,72
Ukraine,100
United Republic of Tanzania,91
Uzbekistan,100
Vanuatu,88
Venezuela (Bolivarian Republic of),82
Viet Nam,99
Western and Central Africa,90
Yemen,73
Zambia,87
Zimbabwe,79
fnSeqID,
1,
2,
3,
4,
