Country or Area,Proportion of pupils starting grade 1 who reach grade 5
Albania,95
Algeria,95
Angola,32
Argentina,94
Austria,97
Azerbaijan,96
Bahamas,89
Bangladesh,66
Belarus,100
Belgium,93
Belize,90
Bhutan,91
Bosnia and Herzegovina,99
Botswana,93
Brunei Darussalam,96
Bulgaria,97
Burkina Faso,64
Burundi,56
Cameroon,66
CEE/CIS,96
Central African Republic,46
Chad,28
China,99
Colombia,85
Costa Rica,89
Côte d'Ivoire,61
Croatia,99
Cuba,95
Czech Republic,100
Democratic Republic of the Congo,55
Denmark,99
Djibouti,64
Dominica,88
East Asia and Pacific,95
Eastern and Southern Africa,49
El Salvador,86
Equatorial Guinea,62
Eritrea,69
Estonia,98
Ethiopia,47
Fiji,91
Finland,100
Gambia,61
Georgia,96
Germany,96
Ghana,72
Guinea,66
Guyana,83
Hungary,98
Iran (Islamic Republic of),94
Israel,99
Italy,100
Jamaica,95
Japan,100
Kazakhstan,100
Kuwait,96
Kyrgyzstan,98
Latin America and Caribbean,91
Latvia,95
Least Developed Countries/Territories,56
Lebanon,92
Lesotho,69
Liechtenstein,79
Lithuania,98
Madagascar,35
Malawi,53
Malaysia,98
Mali,75
Malta,80
Marshall Islands,83
Mauritania,71
Mauritius,98
Mexico,94
Mongolia,94
Morocco,91
Mozambique,27
Myanmar,75
Namibia,83
Niger,69
Nigeria,80
Norway,99
Pakistan,62
Panama,94
Paraguay,78
Peru,90
Philippines,76
Poland,98
Republic of Korea,99
Republic of Moldova,95
Romania,97
Russian Federation,96
Saint Kitts and Nevis,74
Saint Lucia,92
Sao Tome and Principe,68
Senegal,60
Serbia,99
Singapore,99
Slovakia,98
Slovenia,100
Spain,99
Sub-Saharan Africa,60
Suriname,90
Swaziland,84
Sweden,99
Syrian Arab Republic,95
Tajikistan,99
Timor-Leste,67
Togo,59
Trinidad and Tobago,89
Tunisia,95
Turkey,92
Uganda,32
Ukraine,98
United Republic of Tanzania,81
United States,93
Uruguay,95
Uzbekistan,98
Vanuatu,71
Venezuela (Bolivarian Republic of),92
Western and Central Africa,68
World,81
Zambia,53
fnSeqID,
1,
2,
3,
