Country or Area,Ratio of adult literacy rate of females to males
Albania,97
Algeria,79
Angola,70
Antigua and Barbuda,101
Argentina,100
Armenia,100
Azerbaijan,100
Bahrain,97
Bangladesh,85
Belarus,100
Benin,55
Bhutan,59
Bolivia (Plurinational State of),91
Bosnia and Herzegovina,97
Botswana,101
Brazil,100
Brunei Darussalam,97
Bulgaria,99
Burkina Faso,59
Burundi,85
Cambodia,80
Cameroon,80
Cape Verde,89
CEE/CIS,98
Central African Republic,62
Chad,54
Chile,100
China,94
Colombia,100
Comoros,87
Costa Rica,100
Côte d'Ivoire,72
Croatia,99
Cuba,100
Cyprus,98
Democratic People's Republic of Korea,100
Democratic Republic of the Congo,74
Dominican Republic,100
East Asia and Pacific,94
Eastern and Southern Africa,82
Ecuador,97
Egypt,79
El Salvador,94
Equatorial Guinea,93
Eritrea,73
Estonia,100
Ethiopia,59
Gabon,92
Gambia,67
Georgia,100
Ghana,84
Greece,98
Guatemala,87
Guinea,58
Guinea-Bissau,60
Haiti,84
Honduras,100
Hungary,100
India,68
Indonesia,94
Iran (Islamic Republic of),90
Iraq,82
Italy,99
Jamaica,112
Jordan,93
Kazakhstan,100
Kenya,93
Kuwait,97
Kyrgyzstan,99
Lao People's Democratic Republic,77
Latin America and Caribbean,98
Latvia,100
Least Developed Countries/Territories,76
Lebanon,92
Lesotho,115
Liberia,88
Libya,86
Lithuania,100
Madagascar,91
Malawi,84
Malaysia,95
Maldives,100
Mali,47
Malta,103
Mauritania,79
Mauritius,95
Mexico,97
Middle East and North Africa,82
Mongolia,101
Montenegro,98
Morocco,64
Mozambique,61
Myanmar,95
Namibia,99
Nepal,66
Nicaragua,100
Niger,35
Nigeria,70
Oman,90
Pakistan,59
Panama,99
Papua New Guinea,90
Paraguay,98
Peru,89
Philippines,101
Poland,100
Portugal,97
Qatar,99
Republic of Moldova,99
Romania,99
Russian Federation,100
Rwanda,90
Samoa,100
Sao Tome and Principe,90
Saudi Arabia,90
Senegal,63
Serbia,97
Seychelles,101
Sierra Leone,59
Singapore,96
Slovenia,100
South Africa,96
South Asia,69
Spain,98
Sri Lanka,97
State of Palestine,94
Sub-Saharan Africa,76
Suriname,99
Swaziland,99
Syrian Arab Republic,86
Tajikistan,100
Thailand,96
The former Yugoslav Republic of Macedonia,97
Timor-Leste,83
Togo,61
Tonga,100
Trinidad and Tobago,99
Tunisia,82
Turkey,89
Turkmenistan,100
Uganda,78
Ukraine,100
United Arab Emirates,102
United Republic of Tanzania,85
Uruguay,101
Uzbekistan,100
Vanuatu,96
Venezuela (Bolivarian Republic of),100
Viet Nam,96
Western and Central Africa,70
World,90
Yemen,58
Zambia,77
fnSeqID,
1,
2,
3,
