Country or Area,Ratio of girls to boys starting grade 1 who reach grade 5
Albania,100
Algeria,104
Angola,73
Argentina,101
Austria,103
Azerbaijan,102
Bahamas,96
Bangladesh,114
Belgium,103
Belize,103
Bhutan,105
Bosnia and Herzegovina,99
Botswana,104
Brunei Darussalam,100
Bulgaria,99
Burkina Faso,109
Burundi,118
Cameroon,98
CEE/CIS,101
Central African Republic,90
Chad,96
Colombia,101
Costa Rica,103
Côte d'Ivoire,96
Croatia,101
Cuba,102
Czech Republic,100
Democratic Republic of the Congo,88
Denmark,100
Djibouti,101
Dominica,105
Eastern and Southern Africa,103
El Salvador,101
Equatorial Guinea,108
Eritrea,94
Estonia,100
Ethiopia,100
Fiji,95
Finland,100
Gambia,94
Georgia,105
Germany,101
Ghana,91
Guinea,76
Guyana,96
Hungary,100
Iran (Islamic Republic of),100
Israel,98
Italy,100
Jamaica,102
Japan,100
Kazakhstan,100
Kuwait,100
Kyrgyzstan,99
Latin America and Caribbean,102
Latvia,100
Least Developed Countries/Territories,102
Lebanon,103
Lesotho,124
Liechtenstein,96
Lithuania,100
Madagascar,105
Malawi,103
Malaysia,100
Mali,95
Malta,91
Marshall Islands,91
Mauritania,99
Mauritius,99
Mexico,102
Mongolia,102
Morocco,100
Mozambique,94
Myanmar,107
Namibia,107
Niger,94
Nigeria,107
Norway,100
Pakistan,92
Panama,100
Paraguay,106
Peru,101
Philippines,111
Poland,100
Republic of Korea,100
Republic of Moldova,104
Romania,100
Saint Kitts and Nevis,90
Saint Lucia,97
Sao Tome and Principe,121
Senegal,105
Serbia,100
Singapore,100
Slovakia,100
Slovenia,100
Spain,101
Sub-Saharan Africa,101
Suriname,122
Swaziland,107
Sweden,100
Syrian Arab Republic,101
Tajikistan,101
Timor-Leste,111
Togo,123
Trinidad and Tobago,106
Tunisia,102
Turkey,103
Uganda,101
Ukraine,101
United Republic of Tanzania,113
United States,89
Uruguay,104
Uzbekistan,101
Vanuatu,94
Venezuela (Bolivarian Republic of),105
Western and Central Africa,100
World,100
Zambia,95
fnSeqID,
1,
2,
3,
