Country or Area,Ratio of school attendance of orphans to school attendance of non-orphans
Angola,85
Bangladesh,84
Belize,66
Benin,90
Bhutan,70
Burkina Faso,101
Burundi,82
Cambodia,86
Cameroon,91
Central African Republic,89
Chad,117
Côte d'Ivoire,83
Democratic Republic of the Congo,74
Dominican Republic,98
Eastern and Southern Africa,89
Ethiopia,90
Gambia,103
Ghana,76
Guinea-Bissau,109
Haiti,86
Honduras,108
India,72
Iraq,84
Least Developed Countries/Territories,88
Lesotho,98
Liberia,85
Madagascar,74
Malawi,97
Mali,92
Mauritania,66
Mongolia,102
Mozambique,83
Namibia,100
Niger,67
Nigeria,117
Rwanda,91
Senegal,97
Sierra Leone,88
Somalia,78
South Africa,101
South Asia,72
South Sudan,78
Sub-Saharan Africa,95
Sudan,96
Swaziland,99
Thailand,93
Timor-Leste,75
Togo,86
Uganda,88
United Republic of Tanzania,90
Vanuatu,92
Western and Central Africa,100
Zambia,92
Zimbabwe,95
fnSeqID,
1,
2,
3,
4,
