Country or Area,Male Child discipline,Female Child discipline,Total Child discipline
Afghanistan,75,74,38
Albania,78,71,83
Algeria,89,87,93
Armenia,72,67,92
Azerbaijan,79,71,84
Bahrain,0,0,70
Belarus,87,80,91
Belize,71,70,92
Bosnia and Herzegovina,40,36,72
Burkina Faso,84,82,67
Cameroon,93,93,92
Central African Republic,92,92,72
Chad,85,84,90
Cyprus,0,0,70
Côte d'Ivoire,91,91,67
Democratic Republic of the Congo,92,91,94
Djibouti,73,71,82
Dominican Republic,69,65,76
Egypt,0,0,75
Fiji,0,0,74
Gambia,90,91,86
Georgia,70,63,89
Ghana,94,94,49
Guinea-Bissau,82,81,81
Guyana,79,74,54
Iraq,87,84,74
Israel,0,0,70
Jamaica,90,87,82
Jordan,0,0,70
Kazakhstan,54,45,94
Kiribati,0,0,75
Kuwait,0,0,70
Kyrgyzstan,58,49,90
Lao People's Democratic Republic,75,72,46
Lebanon,82,82,63
Liberia,94,94,91
Libya,0,0,70
Mongolia,48,43,67
Montenegro,64,61,82
Morocco,92,90,72
Oman,0,0,70
Qatar,0,0,70
Saudi Arabia,0,0,70
Serbia,70,64,95
Sierra Leone,81,82,86
Solomon Islands,0,0,71
State of Palestine,0,0,88
Sudan,0,0,70
Suriname,87,85,89
Swaziland,90,88,89
Syrian Arab Republic,90,88,78
Tajikistan,80,75,69
The former Yugoslav Republic of Macedonia,71,67,93
Togo,94,93,77
Trinidad and Tobago,78,77,70
Tunisia,0,0,70
Turkey,0,0,70
Ukraine,76,65,78
United Arab Emirates,0,0,70
Vanuatu,0,0,84
Viet Nam,76,71,74
Yemen,95,95,95
