Country or Area,Children orphaned due to all causes
Afghanistan,43200
Albania,6500
Algeria,6000
Andorra,6500
Angola,1300
Antigua and Barbuda,9500
Argentina,9500
Armenia,6000
Australia,28700
Austria,6500
Azerbaijan,6000
Bahamas,9500
Bahrain,6000
Bangladesh,43200
Barbados,9500
Belarus,6500
Belgium,6500
Belize,9500
Benin,380
Bhutan,43200
Bolivia (Plurinational State of),9500
Bosnia and Herzegovina,6500
Botswana,140
Brazil,9500
Brunei Darussalam,28700
Bulgaria,6500
Burkina Faso,880
Burundi,610
Cambodia,43200
Cameroon,1300
Canada,0.0
Cape Verde,26300
Central African Republic,350
Chad,880
Chile,9500
China,28700
Colombia,9500
Comoros,43200
Congo,230
Cook Islands,28700
Costa Rica,9500
Croatia,6500
Cuba,9500
Cyprus,6000
Czech Republic,6500
Côte d'Ivoire,1200
Democratic People's Republic of Korea,28700
Democratic Republic of the Congo,26300
Denmark,6500
Djibouti,46
Dominica,9500
Dominican Republic,9500
Ecuador,9500
Egypt,6000
El Salvador,9500
Equatorial Guinea,46
Eritrea,280
Estonia,6500
Ethiopia,4600
Fiji,28700
Finland,6500
France,6500
Gabon,64
Gambia,26300
Georgia,6000
Germany,6500
Ghana,970
Greece,6500
Grenada,9500
Guatemala,9500
Guinea,570
Guinea-Bissau,110
Guyana,9500
Haiti,420
Holy See,6500
Honduras,9500
Hungary,6500
Iceland,6500
India,42900
Indonesia,28700
Iran (Islamic Republic of),42900
Iraq,6000
Ireland,6500
Israel,6000
Italy,6500
Jamaica,9500
Japan,28700
Jordan,6000
Kazakhstan,6500
Kenya,2600
Kiribati,43200
Kuwait,6000
Kyrgyzstan,6500
Lao People's Democratic Republic,43200
Latvia,6500
Lebanon,6000
Lesotho,200
Liberia,230
Libya,6000
Liechtenstein,6500
Lithuania,6500
Luxembourg,6500
Madagascar,43200
Malawi,1000
Malaysia,28700
Maldives,42900
Mali,26300
Malta,6500
Marshall Islands,28700
Mauritania,26300
Mauritius,53600
Mexico,9500
Micronesia (Federated States of),28700
Monaco,6500
Mongolia,28700
Montenegro,6500
Morocco,6000
Mozambique,2000
Myanmar,43200
Namibia,120
Nauru,28700
Nepal,43200
Netherlands,6500
New Zealand,28700
Nicaragua,9500
Niger,26300
Nigeria,10800
Niue,28700
Norway,6500
Oman,6000
Pakistan,42900
Palau,28700
Panama,9500
Papua New Guinea,250
Paraguay,9500
Peru,9500
Philippines,28700
Poland,6500
Portugal,6500
Qatar,6000
Republic of Korea,28700
Republic of Moldova,6500
Romania,6500
Russian Federation,6500
Rwanda,660
Saint Kitts and Nevis,9500
Saint Lucia,9500
Saint Vincent and the Grenadines,9500
Samoa,28700
San Marino,6500
Sao Tome and Principe,26300
Saudi Arabia,6000
Senegal,26300
Serbia,6500
Seychelles,53600
Sierra Leone,310
Singapore,28700
Slovakia,6500
Slovenia,6500
Solomon Islands,43200
Somalia,43200
South Africa,3500
South Sudan,410
Spain,6500
Sri Lanka,42900
State of Palestine,6000
Sudan,43200
Suriname,9500
Swaziland,110
Sweden,6500
Switzerland,6500
Syrian Arab Republic,6000
Tajikistan,6500
Thailand,28700
The former Yugoslav Republic of Macedonia,6500
Timor-Leste,43200
Togo,250
Tonga,28700
Trinidad and Tobago,9500
Tunisia,6000
Turkey,6000
Turkmenistan,6500
Tuvalu,43200
Uganda,2600
Ukraine,6500
United Arab Emirates,6000
United Kingdom,6500
United Republic of Tanzania,3000
United States,0.0
Uruguay,9500
Uzbekistan,6500
Vanuatu,43200
Venezuela (Bolivarian Republic of),9500
Viet Nam,28700
Yemen,43200
Zambia,1200
Zimbabwe,1300
