Country or Area,Gross enrolment ratio in lower secondary education
Afghanistan,62.0
Albania,95.0
Algeria,133.0
American Samoa,89.0
Andorra,88.0
Angola,39.0
Anguilla,102.0
Antigua and Barbuda,122.0
Argentina,109.0
Armenia,96.0
Aruba,102.0
Australia,113.0
Austria,102.0
Azerbaijan,92.0
Bahamas,101.0
Bahrain,89.0
Bangladesh,66.0
Barbados,99.0
Belarus,95.0
Belgium,114.0
Belize,102.0
Benin,46.0
Bhutan,78.0
Bolivia (Plurinational State of),94.0
Bonaire,102.0
Bosnia and Herzegovina,99.0
Botswana,91.0
Bouvet Island,102.0
Brazil,102.0
British Indian Ocean Territory,47.0
British Virgin Islands,102.0
Brunei Darussalam,89.0
Bulgaria,83.0
Burkina Faso,28.0
Burundi,34.0
Cambodia,60.0
Cameroon,46.0
Canada,99.0
Cape Verde,109.0
Cayman Islands,102.0
Central African Republic,46.0
Chad,29.0
Chile,100.0
China,92.0
Christmas Island,89.0
Cocos (Keeling) Islands,89.0
Colombia,105.0
Comoros,47.0
Congo,46.0
Cook Islands,97.0
Costa Rica,116.0
Croatia,105.0
Cuba,94.0
Curaçao,102.0
Cyprus,102.0
Czech Republic,93.0
Côte d'Ivoire,46.0
Democratic People's Republic of Korea,89.0
Democratic Republic of the Congo,48.0
Denmark,116.0
Djibouti,44.0
Dominica,108.0
Dominican Republic,90.0
Ecuador,85.0
Egypt,94.0
El Salvador,86.0
Equatorial Guinea,46.0
Eritrea,44.0
Estonia,105.0
Ethiopia,45.0
Falkland Islands (Malvinas),102.0
Faroe Islands,95.0
Fiji,100.0
Finland,99.0
France,110.0
French Guiana,102.0
French Polynesia,89.0
French Southern Territories,47.0
Gabon,46.0
Gambia,63.0
Georgia,93.0
Germany,101.0
Ghana,83.0
Gibraltar,95.0
Greece,95.0
Grenada,121.0
Guadeloupe,102.0
Guam,89.0
Guatemala,65.0
Guernsey,95.0
Guinea,46.0
Guinea-Bissau,46.0
Guyana,99.0
Haiti,102.0
Heard Island and McDonald Islands,89.0
Holy See,95.0
Honduras,75.0
Hungary,99.0
Iceland,97.0
India,81.0
Indonesia,92.0
Iran (Islamic Republic of),98.0
Iraq,89.0
Ireland,110.0
Isle of Man,95.0
Israel,94.0
Italy,107.0
Jamaica,91.0
Japan,103.0
Jersey,95.0
Jordan,94.0
Kazakhstan,105.0
Kenya,91.0
Kiribati,99.0
Kuwait,110.0
Kyrgyzstan,94.0
Lao People's Democratic Republic,55.0
Latvia,95.0
Lebanon,90.0
Lesotho,58.0
Liberia,46.0
Libya,89.0
Liechtenstein,103.0
Lithuania,96.0
Luxembourg,110.0
Madagascar,42.0
Malawi,40.0
Malaysia,91.0
Maldives,75.0
Mali,48.0
Malta,103.0
Marshall Islands,110.0
Martinique,102.0
Mauritania,26.0
Mauritius,96.0
Mayotte,47.0
Mexico,117.0
Micronesia (Federated States of),89.0
Monaco,95.0
Mongolia,89.0
Montenegro,114.0
Montserrat,102.0
Morocco,89.0
Mozambique,34.0
Myanmar,62.0
Namibia,47.0
Nauru,89.0
Nepal,75.0
Netherlands,127.0
New Caledonia,89.0
New Zealand,104.0
Nicaragua,80.0
Niger,19.0
Nigeria,47.0
Niue,89.0
Norfolk Island,89.0
Northern Mariana Islands,89.0
Norway,98.0
Oman,108.0
Pakistan,44.0
Palau,89.0
Panama,93.0
Papua New Guinea,89.0
Paraguay,78.0
Peru,101.0
Philippines,88.0
Pitcairn,89.0
Poland,97.0
Portugal,116.0
Puerto Rico,102.0
Qatar,101.0
Republic of Korea,100.0
Republic of Moldova,89.0
Romania,96.0
Russian Federation,90.0
Rwanda,43.0
Réunion,47.0
Saint Barthélemy,102.0
Saint Helena,46.0
Saint Kitts and Nevis,100.0
Saint Lucia,98.0
Saint Martin (French Part),102.0
Saint Vincent and the Grenadines,119.0
Samoa,105.0
San Marino,99.0
Sao Tome and Principe,71.0
Sark,95.0
Saudi Arabia,106.0
Senegal,46.0
Serbia,99.0
Seychelles,131.0
Sierra Leone,46.0
Singapore,89.0
Sint Maarten (Dutch part),102.0
Slovakia,91.0
Slovenia,96.0
Solomon Islands,50.0
Somalia,47.0
South Africa,96.0
South Georgia and the South Sandwich Islands,102.0
South Sudan,47.0
Spain,120.0
Sri Lanka,75.0
State of Palestine,88.0
Sudan,50.0
Suriname,89.0
Svalbard and Jan Mayen Islands,95.0
Swaziland,67.0
Sweden,97.0
Switzerland,108.0
Syrian Arab Republic,92.0
Tajikistan,98.0
Thailand,91.0
The former Yugoslav Republic of Macedonia,90.0
Timor-Leste,63.0
Togo,46.0
Tokelau,89.0
Tonga,89.0
Trinidad and Tobago,92.0
Tunisia,116.0
Turkey,96.0
Turkmenistan,95.0
Turks and Caicos Islands,102.0
Tuvalu,50.0
Uganda,35.0
Ukraine,104.0
United Arab Emirates,89.0
United Kingdom,109.0
United Republic of Tanzania,47.0
United States,103.0
United States Minor Outlying Islands,89.0
United States Virgin Islands,102.0
Uruguay,113.0
Uzbekistan,96.0
Vanuatu,65.0
Venezuela (Bolivarian Republic of),90.0
Viet Nam,88.0
Wallis and Futuna Islands,89.0
Western Sahara,89.0
Yemen,54.0
Zambia,47.0
Zimbabwe,47.0
Åland Islands,95.0
