Country or Area,Gross enrolment ratio of girls to boys in primary education
Afghanistan,69.0
Albania,99.0
Algeria,94.0
American Samoa,102.0
Andorra,101.0
Angola,81.0
Anguilla,97.0
Antigua and Barbuda,92.0
Argentina,99.0
Armenia,102.0
Aruba,97.0
Australia,99.0
Austria,99.0
Azerbaijan,99.0
Bahamas,102.0
Bahrain,94.0
Bangladesh,98.0
Barbados,102.0
Belarus,100.0
Belgium,100.0
Belize,91.0
Benin,87.0
Bhutan,102.0
Bolivia (Plurinational State of),99.0
Bonaire,97.0
Bosnia and Herzegovina,102.0
Botswana,96.0
Bouvet Island,97.0
Brazil,97.0
British Indian Ocean Territory,93.0
British Virgin Islands,97.0
Brunei Darussalam,101.0
Bulgaria,100.0
Burkina Faso,91.0
Burundi,99.0
Cambodia,95.0
Cameroon,86.0
Canada,100.0
Cape Verde,92.0
Cayman Islands,97.0
Central African Republic,71.0
Chad,73.0
Chile,95.0
China,103.0
Christmas Island,102.0
Cocos (Keeling) Islands,102.0
Colombia,98.0
Comoros,92.0
Congo,95.0
Cook Islands,102.0
Costa Rica,99.0
Croatia,100.0
Cuba,98.0
Curaçao,97.0
Cyprus,99.0
Czech Republic,99.0
Côte d'Ivoire,83.0
Democratic People's Republic of Korea,102.0
Democratic Republic of the Congo,87.0
Denmark,100.0
Djibouti,90.0
Dominica,98.0
Dominican Republic,88.0
Ecuador,101.0
Egypt,96.0
El Salvador,95.0
Equatorial Guinea,97.0
Eritrea,84.0
Estonia,99.0
Ethiopia,91.0
Falkland Islands (Malvinas),97.0
Faroe Islands,99.0
Fiji,98.0
Finland,99.0
France,99.0
French Guiana,97.0
French Polynesia,102.0
French Southern Territories,93.0
Gabon,97.0
Gambia,102.0
Georgia,103.0
Germany,100.0
Ghana,100.0
Gibraltar,99.0
Greece,99.0
Grenada,100.0
Guadeloupe,97.0
Guam,102.0
Guatemala,96.0
Guernsey,99.0
Guinea,84.0
Guinea-Bissau,94.0
Guyana,104.0
Haiti,97.0
Heard Island and McDonald Islands,102.0
Holy See,99.0
Honduras,100.0
Hungary,99.0
Iceland,100.0
India,100.0
Indonesia,102.0
Iran (Islamic Republic of),101.0
Iraq,94.0
Ireland,100.0
Isle of Man,99.0
Israel,101.0
Italy,99.0
Jamaica,95.0
Japan,100.0
Jersey,99.0
Jordan,100.0
Kazakhstan,100.0
Kenya,98.0
Kiribati,104.0
Kuwait,103.0
Kyrgyzstan,99.0
Lao People's Democratic Republic,93.0
Latvia,99.0
Lebanon,97.0
Lesotho,98.0
Liberia,91.0
Libya,94.0
Liechtenstein,94.0
Lithuania,99.0
Luxembourg,101.0
Madagascar,98.0
Malawi,104.0
Malaysia,102.0
Maldives,96.0
Mali,87.0
Malta,101.0
Marshall Islands,99.0
Martinique,97.0
Mauritania,105.0
Mauritius,101.0
Mayotte,93.0
Mexico,99.0
Micronesia (Federated States of),102.0
Monaco,99.0
Mongolia,98.0
Montenegro,98.0
Montserrat,97.0
Morocco,94.0
Mozambique,90.0
Myanmar,100.0
Namibia,99.0
Nauru,106.0
Nepal,98.0
Netherlands,99.0
New Caledonia,102.0
New Zealand,100.0
Nicaragua,98.0
Niger,82.0
Nigeria,91.0
Niue,102.0
Norfolk Island,102.0
Northern Mariana Islands,102.0
Norway,100.0
Oman,97.0
Pakistan,82.0
Palau,102.0
Panama,97.0
Papua New Guinea,89.0
Paraguay,97.0
Peru,100.0
Philippines,98.0
Pitcairn,102.0
Poland,99.0
Portugal,97.0
Puerto Rico,97.0
Qatar,100.0
Republic of Korea,99.0
Republic of Moldova,100.0
Romania,99.0
Russian Federation,100.0
Rwanda,102.0
Réunion,93.0
Saint Barthélemy,97.0
Saint Helena,89.0
Saint Kitts and Nevis,100.0
Saint Lucia,96.0
Saint Martin (French Part),97.0
Saint Vincent and the Grenadines,93.0
Samoa,102.0
San Marino,113.0
Sao Tome and Principe,100.0
Sark,99.0
Saudi Arabia,99.0
Senegal,106.0
Serbia,99.0
Seychelles,100.0
Sierra Leone,93.0
Singapore,102.0
Sint Maarten (Dutch part),97.0
Slovakia,99.0
Slovenia,99.0
Solomon Islands,94.0
Somalia,93.0
South Africa,96.0
South Georgia and the South Sandwich Islands,97.0
South Sudan,93.0
Spain,99.0
Sri Lanka,100.0
State of Palestine,98.0
Sudan,94.0
Suriname,95.0
Svalbard and Jan Mayen Islands,99.0
Swaziland,92.0
Sweden,99.0
Switzerland,100.0
Syrian Arab Republic,98.0
Tajikistan,96.0
Thailand,99.0
The former Yugoslav Republic of Macedonia,101.0
Timor-Leste,96.0
Togo,90.0
Tokelau,102.0
Tonga,102.0
Trinidad and Tobago,97.0
Tunisia,96.0
Turkey,98.0
Turkmenistan,99.0
Turks and Caicos Islands,97.0
Tuvalu,94.0
Uganda,101.0
Ukraine,101.0
United Arab Emirates,94.0
United Kingdom,100.0
United Republic of Tanzania,102.0
United States,99.0
United States Minor Outlying Islands,102.0
United States Virgin Islands,97.0
Uruguay,97.0
Uzbekistan,97.0
Vanuatu,95.0
Venezuela (Bolivarian Republic of),97.0
Viet Nam,94.0
Wallis and Futuna Islands,102.0
Western Sahara,94.0
Yemen,82.0
Zambia,101.0
Zimbabwe,93.0
Åland Islands,99.0
