Country or Area,Poorest 20% Learning materials at home - Playthings,Total Learning materials at home - Playthings,Richest 20% Learning materials at home - Playthings
Afghanistan,52,43,57
Albania,57,57,48
Angola,29,36,43
Belize,55,49,58
Benin,29,36,43
Bhutan,36,43,60
Bosnia and Herzegovina,49,39,43
Burkina Faso,29,36,43
Cameroon,62,47,46
Cape Verde,29,36,43
Central African Republic,41,29,51
Chad,38,24,50
Congo,29,36,43
Côte d'Ivoire,44,42,35
Democratic People's Republic of Korea,0,53,0
Democratic Republic of the Congo,21,38,40
Djibouti,0,53,0
Equatorial Guinea,29,36,43
Gabon,29,36,43
Gambia,29,41,49
Georgia,41,65,41
Ghana,31,71,51
Guinea,29,36,43
Guinea-Bissau,29,36,43
Guyana,67,45,60
Jamaica,0,57,0
Kazakhstan,40,57,49
Kyrgyzstan,59,57,54
Lao People's Democratic Republic,54,16,40
Lebanon,0,52,0
Liberia,29,36,43
Mali,33,40,49
Mauritania,29,36,43
Mongolia,74,68,62
Montenegro,49,39,33
Morocco,19,14,7
Niger,29,36,43
Nigeria,25,35,42
Sao Tome and Principe,29,36,43
Senegal,29,36,43
Serbia,65,63,60
Sierra Leone,24,35,50
Suriname,67,64,63
Swaziland,64,69,74
Syrian Arab Republic,52,52,51
Tajikistan,43,46,44
Thailand,58,55,49
The former Yugoslav Republic of Macedonia,70,71,79
Togo,26,31,41
Trinidad and Tobago,63,65,72
Ukraine,36,47,47
Uzbekistan,74,67,62
Viet Nam,41,49,54
Yemen,45,49,49
