Country or Area,Proportion of population urbanised
Afghanistan,24
Albania,53
Algeria,73
Andorra,87
Angola,59
Antigua and Barbuda,30
Argentina,93
Armenia,64
Australia,89
Austria,68
Azerbaijan,54
Bahamas,84
Bahrain,89
Bangladesh,28
Barbados,44
Belarus,75
Belgium,97
Belize,45
Benin,45
Bhutan,36
Bolivia (Plurinational State of),67
Bosnia and Herzegovina,48
Botswana,62
Brazil,85
Brunei Darussalam,76
Bulgaria,73
Burkina Faso,27
Burundi,11
Cambodia,20
Cameroon,52
Canada,81
Cape Verde,63
Central African Republic,39
Chad,22
Chile,89
China,51
Colombia,75
Comoros,28
Congo,64
Cook Islands,74
Costa Rica,65
Croatia,58
Cuba,75
Cyprus,70
Czech Republic,73
Côte d'Ivoire,51
Democratic People's Republic of Korea,60
Democratic Republic of the Congo,34
Denmark,87
Djibouti,77
Dominica,67
Dominican Republic,70
Ecuador,67
Egypt,43
El Salvador,65
Equatorial Guinea,39
Eritrea,21
Estonia,69
Ethiopia,17
Fiji,52
Finland,84
France,86
Gabon,86
Gambia,57
Georgia,53
Germany,74
Ghana,52
Greece,61
Grenada,39
Guatemala,50
Guinea,35
Guinea-Bissau,44
Guyana,28
Haiti,53
Holy See,100
Honduras,52
Hungary,69
Iceland,94
India,31
Indonesia,51
Iran (Islamic Republic of),69
Iraq,66
Ireland,62
Israel,92
Italy,68
Jamaica,52
Japan,91
Jordan,83
Kazakhstan,54
Kenya,24
Kiribati,44
Kuwait,98
Kyrgyzstan,35
Lao People's Democratic Republic,34
Latvia,68
Lebanon,87
Lesotho,28
Liberia,48
Libya,78
Liechtenstein,14
Lithuania,67
Luxembourg,85
Madagascar,33
Malawi,16
Malaysia,73
Maldives,41
Mali,35
Malta,95
Marshall Islands,72
Mauritania,41
Mauritius,42
Mexico,78
Micronesia (Federated States of),23
Monaco,100
Mongolia,69
Montenegro,63
Morocco,57
Mozambique,31
Myanmar,33
Namibia,38
Nauru,100
Nepal,17
Netherlands,83
New Zealand,86
Nicaragua,58
Niger,18
Nigeria,50
Niue,38
Norway,79
Oman,73
Pakistan,36
Palau,84
Panama,75
Papua New Guinea,12
Paraguay,62
Peru,77
Philippines,49
Poland,61
Portugal,61
Qatar,99
Republic of Korea,83
Republic of Moldova,48
Romania,53
Russian Federation,74
Rwanda,19
Saint Kitts and Nevis,32
Saint Lucia,18
Saint Vincent and the Grenadines,49
Samoa,20
San Marino,94
Sao Tome and Principe,63
Saudi Arabia,82
Senegal,43
Serbia,56
Seychelles,54
Sierra Leone,39
Singapore,100
Slovakia,55
Slovenia,50
Solomon Islands,20
Somalia,38
South Africa,62
South Sudan,18
Spain,77
Sri Lanka,15
State of Palestine,74
Sudan,33
Suriname,70
Swaziland,21
Sweden,85
Switzerland,74
Syrian Arab Republic,56
Tajikistan,27
Thailand,34
The former Yugoslav Republic of Macedonia,59
Timor-Leste,28
Togo,38
Tonga,23
Trinidad and Tobago,14
Tunisia,66
Turkey,72
Turkmenistan,49
Tuvalu,51
Uganda,16
Ukraine,69
United Arab Emirates,84
United Kingdom,80
United Republic of Tanzania,27
United States,82
Uruguay,93
Uzbekistan,36
Vanuatu,25
Venezuela (Bolivarian Republic of),94
Viet Nam,31
Yemen,32
Zambia,39
Zimbabwe,39
