Country or Area,Poorest 20% Adult support for learning,Male Adult support for learning,Total Adult support for learning,Richest 20% Adult support for learning,Female Adult support for learning
Afghanistan,72,74,73,80,73
Albania,68,85,86,96,87
Algeria,44.0,56.0,59.0,73.0,62.0
Andorra,62.0,66.75,66.5,76.5,66.0
Angola,57,63,63,77,63
Antigua and Barbuda,57.0,63.0,63.0,77.0,63.0
Argentina,52.5,51.0,52.5,59.5,53.5
Armenia,51.75,57.25,57.5,66.5,57.5
Australia,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0
Azerbaijan,51.75,57.25,57.5,66.5,57.5
Bahamas,57.0,63.0,63.0,77.0,63.0
Bahrain,51.75,57.25,57.5,66.5,57.5
Bangladesh,42,61,61,85,60
Barbados,57.0,63.0,63.0,77.0,63.0
Belarus,95,97,97,98,96
Belgium,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,0.0,0.0
Belize,73,88,86,94,83
Benin,59.2,66.86666666666666,67.2,80.4,67.26666666666667
Benin,57,63,63,77,63
Bhutan,40,52,54,73,57
Bolivia (Plurinational State of),52.5,51.0,52.5,59.5,53.5
Bosnia and Herzegovina,74,83,83,90,83
Botswana,57.0,63.0,63.0,77.0,63.0
Brazil,52.5,51.0,52.5,59.5,53.5
Brunei Darussalam,57.25,63.25,63.5,77.75,63.75
Bulgaria,57.0,63.0,63.0,77.0,63.0
Burkina Faso,12,14,14,26,14
Burundi,32,35,34,38,34
Cambodia,57.25,63.25,63.5,77.75,63.75
Cameroon,57,57,58,69,59
Canada,0.0,0.0,0.0,0.0,0.0
Cape Verde,57,63,63,77,63
Central African Republic,70,74,74,78,74
Chad,64,69,70,71,70
Chile,52.5,51.0,52.5,59.5,53.5
China,37.5,51.0,52.0,72.0,53.5
Colombia,52.5,51.0,52.5,59.5,53.5
Comoros,72.75,77.75,77.5,83.75,77.5
Congo,57,63,63,77,63
Cook Islands,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0
Croatia,62.0,66.75,66.5,76.5,66.0
Cuba,57.0,63.0,63.0,77.0,63.0
Cyprus,51.75,57.25,57.5,66.5,57.5
Czech Republic,57.0,63.0,63.0,77.0,63.0
Côte d'Ivoire,55,50,50,57,51
Democratic Republic of the Congo,62,61,61,76,62
Denmark,0.0,0.0,0.0,0.0,0.0
Dominica,57.0,63.0,63.0,77.0,63.0
Dominican Republic,57.0,63.0,63.0,77.0,63.0
Ecuador,52.5,51.0,52.5,59.5,53.5
Egypt,44.0,56.0,59.0,73.0,62.0
El Salvador,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,57,63,63,77,63
Eritrea,72.75,77.75,77.5,83.75,77.5
Estonia,0.0,0.0,0.0,0.0,0.0
Ethiopia,72.75,77.75,77.5,83.75,77.5
Fiji,0.0,0.0,0.0,0.0,0.0
Finland,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0
Gabon,57,63,63,77,63
Gambia,50,49,48,56,47
Georgia,51.75,57.25,57.5,66.5,57.5
Georgia,85,93,93,99,93
Germany,0.0,0.0,0.0,0.0,0.0
Ghana,23,38,40,78,42
Greece,62.0,66.75,66.5,76.5,66.0
Grenada,57.0,63.0,63.0,77.0,63.0
Guatemala,0.0,0.0,0.0,0.0,0.0
Guinea,57,63,63,77,63
Guinea-Bissau,57,63,63,77,63
Guyana,77,88,89,99,89
Haiti,57.0,63.0,63.0,77.0,63.0
Honduras,0.0,0.0,0.0,0.0,0.0
Hungary,57.0,63.0,63.0,77.0,63.0
Iceland,0.0,0.0,0.0,0.0,0.0
India,57.0,66.0,65.66666666666667,80.66666666666667,65.33333333333333
Indonesia,57.25,63.25,63.5,77.75,63.75
Iran (Islamic Republic of),57.0,66.0,65.66666666666667,80.66666666666667,65.33333333333333
Ireland,0.0,0.0,0.0,0.0,0.0
Israel,51.75,57.25,57.5,66.5,57.5
Italy,62.0,66.75,66.5,76.5,66.0
Japan,37.5,51.0,52.0,72.0,53.5
Jordan,51.75,57.25,57.5,66.5,57.5
Kazakhstan,84,92,92,96,91
Kazakhstan,30.666666666666668,46.666666666666664,46.666666666666664,67.0,46.666666666666664
Kenya,72.75,77.75,77.5,83.75,77.5
Kiribati,0.0,0.0,0.0,0.0,0.0
Kuwait,51.75,57.25,57.5,66.5,57.5
Kyrgyzstan,86,90,88,99,85
Lao People's Democratic Republic,20,33,33,59,34
Latvia,0.0,0.0,0.0,0.0,0.0
Lesotho,57.0,63.0,63.0,77.0,63.0
Liberia,57,63,63,77,63
Libya,44.0,56.0,59.0,73.0,62.0
Liechtenstein,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Madagascar,72.75,77.75,77.5,83.75,77.5
Malawi,72.75,77.75,77.5,83.75,77.5
Malaysia,57.25,63.25,63.5,77.75,63.75
Maldives,57.0,66.0,65.66666666666667,80.66666666666667,65.33333333333333
Mali,28,27,29,44,30
Malta,62.0,66.75,66.5,76.5,66.0
Marshall Islands,0.0,0.0,0.0,0.0,0.0
Mauritania,39,48,48,64,47
Mauritius,72.75,77.75,77.5,83.75,77.5
Mexico,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0
Mongolia,44,56,59,73,62
Montenegro,88,96,97,100,98
Morocco,35,47,48,68,49
Mozambique,48,45,47,50,48
Myanmar,42,58,58,76,58
Namibia,57.0,63.0,63.0,77.0,63.0
Nauru,0.0,0.0,0.0,0.0,0.0
Nepal,57.0,66.0,65.66666666666667,80.66666666666667,65.33333333333333
Netherlands,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0
Nicaragua,0.0,0.0,0.0,0.0,0.0
Niger,57,63,63,77,63
Nigeria,68,78,78,91,78
Norway,0.0,0.0,0.0,0.0,0.0
Oman,51.75,57.25,57.5,66.5,57.5
Pakistan,57.0,66.0,65.66666666666667,80.66666666666667,65.33333333333333
Panama,0.0,0.0,0.0,0.0,0.0
Papua New Guinea,0.0,0.0,0.0,0.0,0.0
Paraguay,52.5,51.0,52.5,59.5,53.5
Peru,52.5,51.0,52.5,59.5,53.5
Philippines,57.25,63.25,63.5,77.75,63.75
Poland,57.0,63.0,63.0,77.0,63.0
Portugal,62.0,66.75,66.5,76.5,66.0
Qatar,51.75,57.25,57.5,66.5,57.5
Republic of Korea,37.5,51.0,52.0,72.0,53.5
Republic of Moldova,57.0,63.0,63.0,77.0,63.0
Romania,57.0,63.0,63.0,77.0,63.0
Russian Federation,57.0,63.0,63.0,77.0,63.0
Rwanda,72.75,77.75,77.5,83.75,77.5
Saint Kitts and Nevis,57.0,63.0,63.0,77.0,63.0
Saint Lucia,57.0,63.0,63.0,77.0,63.0
Saint Vincent and the Grenadines,57.0,63.0,63.0,77.0,63.0
Samoa,0.0,0.0,0.0,0.0,0.0
San Marino,62.0,66.75,66.5,76.5,66.0
Sao Tome and Principe,57,63,63,77,63
Saudi Arabia,51.75,57.25,57.5,66.5,57.5
Senegal,57,63,63,77,63
Serbia,84,96,95,98,95
Seychelles,72.75,77.75,77.5,83.75,77.5
Sierra Leone,45,53,54,79,55
Singapore,57.25,63.25,63.5,77.75,63.75
Slovakia,57.0,63.0,63.0,77.0,63.0
Slovenia,62.0,66.75,66.5,76.5,66.0
Solomon Islands,0.0,0.0,0.0,0.0,0.0
Somalia,76,80,79,85,79
South Africa,57.0,63.0,63.0,77.0,63.0
South Sudan,72.75,77.75,77.5,83.75,77.5
Spain,62.0,66.75,66.5,76.5,66.0
Sri Lanka,57.0,66.0,65.66666666666667,80.66666666666667,65.33333333333333
State of Palestine,51.75,57.25,57.5,66.5,57.5
Sudan,44.0,56.0,59.0,73.0,62.0
Suriname,61,75,75,92,76
Swaziland,35,50,50,71,50
Sweden,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,52,70,70,84,69
Tajikistan,56,73,74,86,74
Thailand,86,90,89,98,89
The former Yugoslav Republic of Macedonia,81,92,92,97,91
The former Yugoslav Republic of Macedonia,62.0,66.75,66.5,76.5,66.0
Timor-Leste,57.25,63.25,63.5,77.75,63.75
Togo,55,61,62,68,63
Tonga,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,96,98,98,100,98
Tunisia,44.0,56.0,59.0,73.0,62.0
Turkey,51.75,57.25,57.5,66.5,57.5
Turkmenistan,30.666666666666668,46.666666666666664,46.666666666666664,67.0,46.666666666666664
Tuvalu,0.0,0.0,0.0,0.0,0.0
Uganda,72.75,77.75,77.5,83.75,77.5
Ukraine,57.0,63.0,63.0,77.0,63.0
United Arab Emirates,51.75,57.25,57.5,66.5,57.5
United Kingdom,0.0,0.0,0.0,0.0,0.0
United Republic of Tanzania,72.75,77.75,77.5,83.75,77.5
United States,0.0,0.0,0.0,0.0,0.0
Uruguay,52.5,51.0,52.5,59.5,53.5
Uzbekistan,83,91,91,95,90
Vanuatu,0.0,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),52.5,51.0,52.5,59.5,53.5
Viet Nam,63,74,77,94,80
Yemen,16,34,33,56,32
Zambia,72.75,77.75,77.5,83.75,77.5
Zimbabwe,72.75,77.75,77.5,83.75,77.5
