Country or Area,Poorest 20% Attendance in early childhood education,Male Attendance in early childhood education,Total Attendance in early childhood education,Richest 20% Attendance in early childhood education,Female Attendance in early childhood education
Afghanistan,9.333333333333334,18.0,36.333333333333336,34.666666666666664,19.666666666666668
Albania,26.0,39.0,40,60.0,42.0
Algeria,8.0,17.0,17.0,63.0,16.5
Andorra,13.75,23.25,24.5,53.0,25.0
Angola,6.0,2.0,49,24.0,3.0
Antigua and Barbuda,35.5,17.0,44.0,55.5,18.5
Argentina,25.0,42.5,20.0,70.5,44.5
Armenia,10.5,3.5,56.0,44.0,3.5
Australia,6.0,2.0,49.0,24.0,3.0
Austria,0.0,0.0,0.0,0.0,0.0
Azerbaijan,10.5,3.5,56.0,44.0,3.5
Bahamas,35.5,17.0,44.0,55.5,18.5
Bahrain,10.5,3.5,56.0,44.0,3.5
Bangladesh,11.0,14.0,15,16.0,15.0
Barbados,35.5,17.0,44.0,55.5,18.5
Belarus,30.0,8.0,33.0,74.0,7.0
Belgium,0.0,0.0,0.0,0.0,0.0
Belize,16.0,87.0,86,59.0,85.0
Benin,6.0,2.0,49,24.0,3.0
Bhutan,3.0,30.0,32,27.0,34.0
Bolivia (Plurinational State of),25.0,42.5,20.0,70.5,44.5
Bosnia and Herzegovina,1.0,10.0,10,15.0,10.0
Botswana,6.0,29.0,32,47.0,26.0
Brazil,25.0,42.5,20.0,70.5,44.5
Brunei Darussalam,22.5,32.666666666666664,22.5,51.166666666666664,33.0
Bulgaria,30.0,8.0,33.0,74.0,7.0
Burkina Faso,8.0,25.2,33.666666666666664,38.86666666666667,26.066666666666666
Burundi,4.0,3.0,18,10.0,1.0
Cambodia,6.0,2.0,49,24.0,3.0
Cameroon,3.0,5.0,2,56.0,5.0
Canada,0.0,0.0,0.0,0.0,0.0
Cape Verde,6.0,25.0,61,49.0,19.0
Central African Republic,2.0,22.0,5,17.0,22.0
Chad,1.0,5.0,22,16.0,6.0
Chile,25.0,42.5,20.0,70.5,44.5
China,26.0,21.0,37.0,83.0,17.0
Colombia,25.0,42.5,20.0,70.5,44.5
Comoros,6.0,2.0,49,24.0,3.0
Congo,6.0,25.0,61,49.0,19.0
Cook Islands,6.0,2.0,49.0,24.0,3.0
Costa Rica,16.0,87.0,86.0,59.0,85.0
Croatia,13.75,23.25,24.5,53.0,25.0
Cuba,35.5,17.0,44.0,55.5,18.5
Cyprus,10.5,3.5,56.0,44.0,3.5
Czech Republic,30.0,8.0,33.0,74.0,7.0
Côte d'Ivoire,1.0,5.0,5,24.0,4.0
Democratic People's Republic of Korea,26.0,21.0,37.0,83.0,17.0
Democratic Republic of the Congo,2.0,5.0,5,18.0,6.0
