Country or Area,Father's support for learning
Afghanistan,62.0
Albania,53.0
Algeria,56.0
Andorra,71.0
Angola,35.0
Antigua and Barbuda,52.0
Argentina,41.5
Armenia,58.8
Australia,0.0
Austria,0.0
Azerbaijan,58.8
Bahamas,52.0
Bahrain,58.8
Bangladesh,53.0
Barbados,52.0
Belarus,72.0
Belgium,0.0
Belize,50.0
Benin,35.0
Bhutan,51.0
Bolivia (Plurinational State of),41.5
Bosnia and Herzegovina,74.0
Botswana,10.0
Brazil,41.5
Brunei Darussalam,46.5
Bulgaria,72.0
Burkina Faso,24.0
Burundi,20.0
Cambodia,46.5
Cameroon,39.0
Canada,0.0
Cape Verde,35.0
Central African Republic,42.0
Chad,29.0
Chile,41.5
China,58.0
Colombia,41.5
Comoros,27.75
Congo,35.0
Cook Islands,0.0
Costa Rica,50.0
Croatia,71.0
Cuba,52.0
Cyprus,58.8
Czech Republic,72.0
Côte d'Ivoire,40.0
Democratic People's Republic of Korea,75.0
Democratic Republic of the Congo,36.0
Denmark,0.0
Djibouti,23.0
Dominica,52.0
Dominican Republic,52.0
Ecuador,41.5
Egypt,56.0
El Salvador,50.0
Equatorial Guinea,35.0
Eritrea,27.75
Estonia,0.0
Ethiopia,27.75
Fiji,0.0
Finland,0.0
France,0.0
Gabon,35.0
Gambia,21.0
Georgia,61.0
Germany,0.0
Ghana,30.0
Greece,71.0
Grenada,52.0
Guatemala,50.0
Guinea,35.0
Guinea-Bissau,35.0
Guyana,52.0
Haiti,52.0
Honduras,50.0
Hungary,72.0
Iceland,0.0
India,55.333333333333336
Indonesia,46.5
Iran (Islamic Republic of),55.333333333333336
Iraq,60.0
Ireland,0.0
Israel,58.8
Italy,71.0
Jamaica,41.0
Japan,58.0
Jordan,58.8
Kazakhstan,49.0
Kenya,27.75
Kiribati,0.0
Kuwait,58.8
Kyrgyzstan,54.0
Lao People's Democratic Republic,24.0
Latvia,0.0
Lebanon,74.0
Lesotho,10.0
Liberia,35.0
Libya,56.0
Liechtenstein,0.0
Lithuania,0.0
Luxembourg,0.0
Madagascar,27.75
Malawi,27.75
Malaysia,46.5
Maldives,55.333333333333336
Mali,14.0
Malta,71.0
Marshall Islands,0.0
Mauritania,30.0
Mauritius,27.75
Mexico,50.0
Monaco,0.0
Mongolia,41.0
Montenegro,79.0
Morocco,56.0
Mozambique,20.0
Myanmar,44.0
Namibia,10.0
Nauru,0.0
Nepal,55.333333333333336
Netherlands,0.0
New Zealand,0.0
Nicaragua,50.0
Niger,35.0
Nigeria,38.0
Norway,0.0
Oman,58.8
Pakistan,55.333333333333336
Panama,50.0
Papua New Guinea,0.0
Paraguay,41.5
Peru,41.5
Philippines,46.5
Poland,72.0
Portugal,71.0
Qatar,58.8
Republic of Korea,58.0
Republic of Moldova,72.0
Romania,72.0
Russian Federation,72.0
Rwanda,27.75
Saint Kitts and Nevis,52.0
Saint Lucia,52.0
Saint Vincent and the Grenadines,52.0
Samoa,0.0
San Marino,71.0
Sao Tome and Principe,35.0
Saudi Arabia,58.8
Senegal,35.0
Serbia,78.0
Seychelles,27.75
Sierra Leone,42.0
Singapore,46.5
Slovakia,72.0
Slovenia,71.0
Solomon Islands,0.0
Somalia,48.0
South Africa,10.0
South Sudan,27.75
Spain,71.0
Sri Lanka,55.333333333333336
State of Palestine,58.8
Sudan,56.0
Suriname,31.0
Swaziland,10.0
Sweden,0.0
Switzerland,0.0
Syrian Arab Republic,62.0
Tajikistan,23.0
Thailand,57.0
The former Yugoslav Republic of Macedonia,71.0
Timor-Leste,46.5
Togo,38.0
Tonga,0.0
Trinidad and Tobago,63.0
Tunisia,56.0
Turkey,58.8
Turkmenistan,45.0
Tuvalu,0.0
Uganda,27.75
Ukraine,72.0
United Arab Emirates,58.8
United Kingdom,0.0
United Republic of Tanzania,27.75
United States,0.0
Uruguay,41.5
Uzbekistan,54.0
Vanuatu,0.0
Venezuela (Bolivarian Republic of),41.5
Viet Nam,61.0
Yemen,37.0
Zambia,27.75
Zimbabwe,27.75
