Country or Area,Poorest 20% Learning materials at home - Children's books,Total Learning materials at home - Children's books,Richest 20% Learning materials at home - Children's books
Afghanistan,1,70,5
Albania,16,8,52
Algeria,9.0,21.0,52.0
Andorra,37.2,43.6,80.2
Angola,1,8,21
Antigua and Barbuda,66.0,81.0,93.0
Argentina,24.0,46.5,80.5
Armenia,21.333333333333332,31.333333333333332,58.333333333333336
Australia,0.0,0.0,0.0
Austria,0.0,0.0,0.0
Azerbaijan,21.333333333333332,31.333333333333332,58.333333333333336
Bahamas,66.0,81.0,93.0
Bahrain,21.333333333333332,31.333333333333332,58.333333333333336
Bangladesh,1.0,35.5,14.5
Barbados,66.0,81.0,93.0
Belarus,93.0,97.0,99.0
Belgium,0.0,0.0,0.0
Belize,17,1,73
Benin,1,8,21
Bhutan,1,1,24
Bolivia (Plurinational State of),24.0,46.5,80.5
Bosnia and Herzegovina,52,5,88
Botswana,1.0,4.0,12.0
Brazil,24.0,46.5,80.5
Brunei Darussalam,9.666666666666666,30.666666666666668,43.666666666666664
Bulgaria,93.0,97.0,99.0
Burkina Faso,1,8,21
Burundi,2.0,3.0,10.0
Cambodia,9.666666666666666,30.666666666666668,43.666666666666664
Cameroon,3,79,22
Canada,0.0,0.0,0.0
Cape Verde,1,8,21
Central African Republic,1.3333333333333333,19.833333333333332,21.166666666666668
Chad,1.3333333333333333,19.833333333333332,21.166666666666668
Chile,24.0,46.5,80.5
China,6.0,23.0,48.0
Colombia,24.0,46.5,80.5
Comoros,2.0,3.0,10.0
Congo,1,8,21
Cook Islands,0.0,0.0,0.0
Costa Rica,17.0,1.0,73.0
Croatia,37.2,43.6,80.2
Cuba,66.0,81.0,93.0
Cyprus,21.333333333333332,31.333333333333332,58.333333333333336
Czech Republic,93.0,97.0,99.0
Côte d'Ivoire,3,1,13
Democratic People's Republic of Korea,6.0,23.0,48.0
Democratic Republic of the Congo,1.3333333333333333,19.833333333333332,21.166666666666668
Denmark,0.0,0.0,0.0
Djibouti,2.0,3.0,10.0
Dominica,66.0,81.0,93.0
Dominican Republic,66.0,81.0,93.0
Ecuador,24.0,46.5,80.5
Egypt,9.0,21.0,52.0
El Salvador,17.0,1.0,73.0
Equatorial Guinea,1,8,21
Eritrea,2.0,3.0,10.0
Estonia,0.0,0.0,0.0
Ethiopia,2.0,3.0,10.0
Fiji,0.0,0.0,0.0
Finland,0.0,0.0,0.0
France,0.0,0.0,0.0
Gabon,1,8,21
Gambia,1.25,12.0,21.666666666666668
Georgia,48,54,91
Germany,0.0,0.0,0.0
Ghana,1,57,23
Greece,37.2,43.6,80.2
Grenada,66.0,81.0,93.0
Guatemala,17.0,1.0,73.0
Guinea,1,8,21
Guinea-Bissau,1,8,21
Guyana,28,48,86
Haiti,66.0,81.0,93.0
Honduras,17.0,1.0,73.0
Hungary,93.0,97.0,99.0
Iceland,0.0,0.0,0.0
India,1.0,35.5,14.5
Indonesia,9.666666666666666,30.666666666666668,43.666666666666664
Iran (Islamic Republic of),1.0,35.5,14.5
Iraq,21.333333333333332,31.333333333333332,58.333333333333336
Ireland,0.0,0.0,0.0
Israel,21.333333333333332,31.333333333333332,58.333333333333336
Italy,37.2,43.6,80.2
Jamaica,66.0,81.0,93.0
Japan,6.0,23.0,48.0
Jordan,21.333333333333332,31.333333333333332,58.333333333333336
Kazakhstan,24,76,76
Kenya,2.0,3.0,10.0
Kiribati,0.0,0.0,0.0
Kuwait,21.333333333333332,31.333333333333332,58.333333333333336
Kyrgyzstan,76,3,85
Lao People's Democratic Republic,1,29,11
Latvia,0.0,0.0,0.0
Lebanon,21.333333333333332,31.333333333333332,58.333333333333336
Lesotho,1.0,4.0,12.0
Liberia,1,8,21
Libya,9.0,21.0,52.0
Liechtenstein,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0
Madagascar,2.0,3.0,10.0
Malawi,2.0,3.0,10.0
Malaysia,9.666666666666666,30.666666666666668,43.666666666666664
Maldives,1.0,35.5,14.5
Mali,1.25,12.0,21.666666666666668
Malta,37.2,43.6,80.2
Marshall Islands,0.0,0.0,0.0
Mauritania,1,8,21
Mauritius,2.0,3.0,10.0
Mexico,17.0,1.0,73.0
Monaco,0.0,0.0,0.0
Mongolia,6,23,48
Montenegro,50,77,92
Morocco,9,21,52
Mozambique,2,3,10
Myanmar,9.666666666666666,30.666666666666668,43.666666666666664
Namibia,1.0,4.0,12.0
Nauru,0.0,0.0,0.0
Nepal,1.0,35.5,14.5
Netherlands,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0
Nicaragua,17.0,1.0,73.0
Niger,1,8,21
Nigeria,2,14,35
Norway,0.0,0.0,0.0
Oman,21.333333333333332,31.333333333333332,58.333333333333336
Pakistan,1.0,35.5,14.5
Panama,17.0,1.0,73.0
Papua New Guinea,0.0,0.0,0.0
Paraguay,24.0,46.5,80.5
Peru,24.0,46.5,80.5
Philippines,9.666666666666666,30.666666666666668,43.666666666666664
Poland,93.0,97.0,99.0
Portugal,37.2,43.6,80.2
Qatar,21.333333333333332,31.333333333333332,58.333333333333336
Republic of Korea,6.0,23.0,48.0
Republic of Moldova,93.0,97.0,99.0
Romania,93.0,97.0,99.0
Russian Federation,93.0,97.0,99.0
Rwanda,2.0,3.0,10.0
Saint Kitts and Nevis,66.0,81.0,93.0
Saint Lucia,66.0,81.0,93.0
Saint Vincent and the Grenadines,66.0,81.0,93.0
Samoa,0.0,0.0,0.0
San Marino,37.2,43.6,80.2
Sao Tome and Principe,1,8,21
Saudi Arabia,21.333333333333332,31.333333333333332,58.333333333333336
Senegal,1,8,21
Serbia,49,76,86
Seychelles,2.0,3.0,10.0
Sierra Leone,1.25,12.0,21.666666666666668
Singapore,9.666666666666666,30.666666666666668,43.666666666666664
Slovakia,93.0,97.0,99.0
Slovenia,37.2,43.6,80.2
Solomon Islands,0.0,0.0,0.0
Somalia,2.0,3.0,10.0
South Africa,1.0,4.0,12.0
South Sudan,2.0,3.0,10.0
Spain,37.2,43.6,80.2
Sri Lanka,1.0,35.5,14.5
State of Palestine,21.333333333333332,31.333333333333332,58.333333333333336
Sudan,9.0,21.0,52.0
Suriname,20,45,75
Swaziland,1,4,12
Sweden,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0
Syrian Arab Republic,12,30,53
Tajikistan,4,17,33
Thailand,25,43,71
The former Yugoslav Republic of Macedonia,19,52,83
Timor-Leste,9.666666666666666,30.666666666666668,43.666666666666664
