Country or Area,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR)
Afghanistan,73.0,0.0,51.0,0.0,0.0,1.6,47.0,59.0
Albania,90.0,0.0,99.0,0.0,0.0,1.0,91.0,99.0
Algeria,98.0,0.0,72.0,0.0,0.0,1.0,95.0,78.0
Andorra,96.6,0.78,83.0,39.4,48.0,1.0,96.6,83.2
Angola,85.0,0.0,66.0,0.0,0.0,1.3,67.0,67.0
Antigua and Barbuda,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Argentina,94.5,1.2166666666666666,61.666666666666664,52.166666666666664,69.5,1.0166666666666666,92.16666666666667,62.5
Armenia,88.16666666666667,1.0333333333333332,80.33333333333333,63.333333333333336,74.66666666666667,1.0833333333333333,80.83333333333333,81.5
Australia,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,74.0,0.0,96.0,0.0,0.0,1.0,72.0,95.0
Bahamas,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Bahrain,88.16666666666667,1.0333333333333332,80.33333333333333,63.333333333333336,74.66666666666667,1.0833333333333333,80.83333333333333,81.5
Bangladesh,86.0,0.0,97.0,0.0,0.0,1.0,86.0,96.0
Barbados,96.0,1.7,76.5,51.0,87.0,1.0,96.5,79.5
Belarus,92.0,0.0,75.0,0.0,0.0,1.0,95.0,75.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,97.0,0.0,93.0,0.0,0.0,1.0,94.0,92.0
Benin,74.0,0.0,87.0,0.0,0.0,1.3,55.0,90.0
Bhutan,96.0,0.0,60.0,0.0,0.0,1.1,90.0,61.0
Bolivia (Plurinational State of),98.0,0.0,64.0,0.0,0.0,1.0,96.0,69.0
Bosnia and Herzegovina,98.0,0.0,65.0,0.0,0.0,1.0,98.0,64.0
Botswana,89.0,0.0,94.0,0.0,0.0,1.0,85.0,94.0
Brazil,94.5,1.2166666666666666,61.666666666666664,52.166666666666664,69.5,1.0166666666666666,92.16666666666667,62.5
Brunei Darussalam,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Bulgaria,81.5,0.7,85.5,34.0,46.5,0.95,85.5,85.5
Burkina Faso,79.0,1.0,45.0,89.0,91.0,2.1,38.0,40.0
Burundi,87.0,1.1,96.0,93.0,98.0,1.2,73.0,95.0
Cambodia,85.0,1.2,74.0,63.0,78.0,1.0,85.0,72.0
Cameroon,90.0,1.1,48.0,72.0,78.0,1.3,71.0,55.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,80.0,1.7,79.0,43.0,73.0,1.3,61.0,82.0
Central African Republic,66.0,1.0,65.0,96.0,94.0,1.6,42.0,69.0
Chad,82.6,0.96,59.0,61.4,70.8,1.28,67.0,63.4
Chile,94.5,1.2166666666666666,61.666666666666664,52.166666666666664,69.5,1.0166666666666666,92.16666666666667,62.5
China,98.0,1.5,99.0,31.0,48.0,1.0,95.0,99.0
Colombia,91.0,1.6,96.0,39.0,63.0,1.0,91.0,94.0
