Country or Area,Proportion of pupils starting grade 1 who reach grade 5 (survey data)
Afghanistan,90.0
Albania,100.0
Algeria,93.0
Andorra,91.8
Angola,83.0
Antigua and Barbuda,98.25
Argentina,91.71428571428571
Armenia,100.0
Australia,90.0
Austria,0.0
Azerbaijan,100.0
Bahamas,98.25
Bahrain,99.0
Bangladesh,94.0
Barbados,98.25
Belarus,100.0
Belgium,0.0
Belize,98.0
Benin,89.0
Bhutan,94.0
Bolivia (Plurinational State of),96.0
Bosnia and Herzegovina,100.0
Botswana,96.0
Brazil,88.0
Brunei Darussalam,92.71428571428571
Bulgaria,90.66666666666667
Burkina Faso,89.0
Burundi,82.0
Cambodia,92.0
Cameroon,87.0
Canada,0.0
Cape Verde,90.0
Central African Republic,62.0
Chad,94.0
Chile,91.71428571428571
China,92.0
Colombia,95.0
Comoros,19.0
Congo,93.0
Cook Islands,90.0
Costa Rica,62.5
Croatia,91.8
Cuba,98.25
Cyprus,87.33333333333333
Czech Republic,90.66666666666667
Côte d'Ivoire,90.0
Democratic People's Republic of Korea,92.0
Democratic Republic of the Congo,75.0
Denmark,0.0
Djibouti,92.0
Dominica,98.25
Dominican Republic,78.0
Ecuador,91.71428571428571
Egypt,99.0
El Salvador,62.5
Equatorial Guinea,90.0
Eritrea,86.26666666666667
Estonia,0.0
Ethiopia,84.0
Fiji,90.0
Finland,0.0
France,0.0
Gabon,90.0
Gambia,93.0
Georgia,98.0
Germany,0.0
Ghana,81.0
Greece,91.8
Grenada,98.25
Guatemala,62.5
Guinea,96.0
Guinea-Bissau,79.0
Guyana,100.0
Haiti,85.0
Honduras,62.5
Hungary,90.66666666666667
Iceland,0.0
India,95.0
Indonesia,92.71428571428571
Iran (Islamic Republic of),95.0
Iraq,93.0
Ireland,0.0
Israel,87.33333333333333
Italy,91.8
Jamaica,99.0
Japan,92.0
Jordan,87.33333333333333
Kazakhstan,100.0
Kenya,96.0
Kiribati,90.0
Kuwait,87.33333333333333
Kyrgyzstan,99.0
Lao People's Democratic Republic,65.0
Latvia,0.0
Lebanon,93.0
Lesotho,84.0
Liberia,90.0
Libya,83.66666666666667
Liechtenstein,0.0
Lithuania,0.0
Luxembourg,0.0
Madagascar,89.0
Malawi,81.0
Malaysia,92.71428571428571
Maldives,99.0
Mali,96.0
Malta,91.8
Marshall Islands,90.0
Mauritania,77.0
Mauritius,86.26666666666667
Mexico,62.5
Monaco,0.0
Mongolia,99.0
Montenegro,97.0
Morocco,83.66666666666667
Mozambique,60.0
Myanmar,93.0
Namibia,89.0
Nauru,90.0
Nepal,95.0
Netherlands,0.0
New Zealand,90.0
Nicaragua,56.0
Niger,88.0
Nigeria,98.0
Norway,0.0
Oman,87.33333333333333
Pakistan,95.0
Panama,62.5
Papua New Guinea,90.0
Paraguay,91.71428571428571
Peru,95.0
Philippines,90.0
Poland,90.66666666666667
Portugal,91.8
Qatar,87.33333333333333
Republic of Korea,92.0
Republic of Moldova,100.0
Romania,90.66666666666667
Russian Federation,90.66666666666667
Rwanda,76.0
Saint Kitts and Nevis,98.25
Saint Lucia,98.25
Saint Vincent and the Grenadines,98.25
Samoa,90.0
San Marino,91.8
Sao Tome and Principe,84.0
Saudi Arabia,87.33333333333333
Senegal,93.0
Serbia,99.0
Seychelles,86.26666666666667
Sierra Leone,93.0
Singapore,92.71428571428571
Slovakia,90.66666666666667
Slovenia,91.8
Solomon Islands,90.0
Somalia,85.0
South Africa,96.0
South Sudan,65.0
Spain,91.8
Sri Lanka,95.0
State of Palestine,87.33333333333333
Sudan,82.0
Suriname,92.0
Swaziland,93.0
Sweden,0.0
Switzerland,0.0
Syrian Arab Republic,100.0
Tajikistan,100.0
Thailand,99.0
The former Yugoslav Republic of Macedonia,99.0
Timor-Leste,91.0
Togo,90.0
Tonga,90.0
Trinidad and Tobago,98.0
Tunisia,83.66666666666667
Turkey,95.0
Turkmenistan,100.0
Tuvalu,90.0
Uganda,72.0
Ukraine,100.0
United Arab Emirates,87.33333333333333
United Kingdom,0.0
United Republic of Tanzania,91.0
United States,0.0
Uruguay,91.71428571428571
Uzbekistan,100.0
Vanuatu,88.0
Venezuela (Bolivarian Republic of),82.0
Viet Nam,99.0
Yemen,73.0
Zambia,87.0
Zimbabwe,79.0
